SessionID,Session Name,Country,Device,User Agent,Browser,Date,Time (MILLISECONDS),Status,Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,Je préfère généralement afficher les courriels dans une orientation:,Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,Il me semble que les icônes de gestion des e-mails sont:,L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,Je trouve que les icônes pour la gestion du courrier électronique sont:,Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,La recherche d'un courrier électronique dans un dossier donné est:,En général je considère que l'utilisation des Mails est:
41d54c62-5ecc-4ec0-882d-2735f0520136,LzSIdy,FR,Mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Mobile Safari,"Thu, 06 Mar 2025 06:19:33 +0000",2494362,DROP_OFF,,,,,,,,,,
1e081f6f-2b5c-443b-94d1-e1dd3f0e1149,aZIRZ6,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 07:21:49 +0000",139703,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2,Je suis pas tout à fait d'accord,Parfaites,Pas tout à fait d'accord,Assez simple,Assez complexe,5
a78258aa-a2cb-440b-b11a-950842473954,SCsWOR,FR,Mobile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36",Samsung Browser,"Thu, 06 Mar 2025 07:28:49 +0000",219407,SUCCESS,Sans avis,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,3,Sans avis,Parfaites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,3
cc4e3a10-485f-4ec1-b583-86d540fa6879,9jNYnG,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 07:29:57 +0000",4121,DROP_OFF,,,,,,,,,,
e66c1c75-24d2-41cc-9876-8ddbdbcb502c,1NDZE0,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 07:33:31 +0000",112843,SUCCESS,Pas du tout d'accord,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,Directement sous (ou au-dessus) du texte de l'e-mail,1,Je suis pas du tout d'accord,Parfaites,Plutôt d'accord,Assez complexe,Assez complexe,4
5969d4b8-8901-4e2f-ad0c-2993cc4e50ee,fqUyv1,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 07:41:08 +0000",352831,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3,Sans avis,Assez petites,Sans avis,Assez complexe,Assez complexe,4
1cccd89e-55f4-4985-883b-52bb5ea38479,hRAft3,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 07:46:03 +0000",108815,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,1,Sans avis,Trop petites,Sans avis,Assez simple,Très complexe,3
65cedf0a-7f15-405b-8de6-61a00387182f,EZOCc5,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 07:47:29 +0000",1295881,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3,Sans avis,Assez petites,Sans avis,Assez simple,D'une complexité correcte,4
1e3d987a-4d06-4f67-a6ae-62556433e0ad,i9kuMK,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,Firefox,"Thu, 06 Mar 2025 07:48:09 +0000",43942,DROP_OFF,Sans avis,,,,,,,,,
8cdfc269-f698-4a40-946a-d7e769279348,AvBbTy,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,Firefox,"Thu, 06 Mar 2025 07:48:58 +0000",4280325,DROP_OFF,Pas tout à fait d'accord,,,,,,,,,
31a3d9d1-d742-4040-9722-9b4378279a63,OS3udo,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:05:37 +0000",57387,DROP_OFF,Plutôt d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),,,,,,,,
336ea9a7-3bc9-43bb-85f6-6cbd3538ccdb,cJeVgA,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:08:30 +0000",136623,DROP_OFF,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),,,,,,,,
dd020c24-1705-415f-b72a-5b4eabf4b161,IJP25P,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:10:50 +0000",115210,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,1,Plutôt d'accord,Trop petites,Je suis d'accord,Très simple,D'une complexité correcte,7
a719e033-00bb-4e39-871d-4f4b3ef4a93c,tKuWFN,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:13:33 +0000",253285,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3,Sans avis,Parfaites,Plutôt d'accord,Assez simple,Très simple,9
93966d61-77fb-4820-b350-e4f8f7e1bdcb,2JIeHA,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 08:16:43 +0000",296062,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,4,Plutôt d'accord,Parfaites,Plutôt d'accord,Assez simple,Assez simple,8
dea84a1b-fbce-415f-bde3-cd7629c41db7,3ElwwH,FR,Desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:20:53 +0000",550500,SUCCESS,Pas du tout d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,2,Je suis pas du tout d'accord,Trop petites,Je suis d'accord,Assez complexe,D'une complexité correcte,3
f38504a9-555a-4911-b48b-fa6ed3bd958f,Mskgv8,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 08:22:00 +0000",1107,DROP_OFF,,,,,,,,,,
ca64c552-0eec-4b46-8085-312f64342f78,S1a6LZ,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 08:22:50 +0000",268321,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,2,Je suis pas du tout d'accord,Trop petites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,4
402f7f11-f50e-406f-99fd-75fc688a3fef,swlsZw,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:24:28 +0000",168806,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3,Sans avis,Parfaites,Sans avis,Assez simple,Assez simple,5
3986cd63-7607-43d9-ad34-816b38ea5285,MeCqri,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:34:28 +0000",672212,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,1,Je suis pas du tout d'accord,Trop petites,Plutôt d'accord,Assez simple,D'une complexité correcte,2
14d476d8-5829-4a6a-8830-ec73834b733a,7cPtpU,FR,Desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:36:52 +0000",276462,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,2,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,Assez simple,Assez complexe,3
91aa8582-e3f6-4fab-87f6-aaa0bf3d3813,n7MG58,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:38:16 +0000",176738,SUCCESS,Je suis d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,4,Sans avis,Assez petites,Plutôt d'accord,Assez simple,D'une complexité correcte,7
cf160ea1-2a8f-4052-976e-58c5ee0fbdd5,FY9ZJO,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:54:50 +0000",7978,DROP_OFF,,,,,,,,,,
c68b703d-508f-4902-9746-03384efa3028,3lmkpX,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 09:00:33 +0000",11447,DROP_OFF,,,,,,,,,,
c8c57aef-8752-42e9-91e4-9c38ef96a9f5,dLpRTt,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 09:01:03 +0000",1525195,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,4,Sans avis,Parfaites,Plutôt d'accord,D'une complexité adéquate,D'une complexité correcte,8
5aee46da-d295-4dd8-b476-fd9b54aa672e,RT2HwH,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 09:03:25 +0000",28991,DROP_OFF,Pas tout à fait d'accord,,,,,,,,,
bbd8c1e3-96a4-415e-8afa-d118ff6fc9f9,8r802Y,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 09:04:16 +0000",303177,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3,Je suis pas du tout d'accord,Trop petites,Je suis d'accord,Assez simple,Assez simple,6
1056c66d-ab2b-4e05-8191-14a995cd5e76,bLnJnD,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 09:05:17 +0000",315947,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2,Sans avis,Assez petites,Sans avis,D'une complexité adéquate,Assez complexe,6
6a269a81-eef8-40b0-b7f9-f30884ba9b68,jc8cBX,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 09:08:04 +0000",169262,DROP_OFF,Pas tout à fait d'accord,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,,,,,,,,
0c50c1af-647d-4f52-b1f8-02cbba72a672,KFwVaE,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 09:29:03 +0000",30813,DROP_OFF,Plutôt d'accord,,,,,,,,,
86c4f2d7-6c9a-4b7d-8a6e-d919349a8bc9,Lt3UWH,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,Firefox,"Thu, 06 Mar 2025 09:49:43 +0000",139863,SUCCESS,Pas tout à fait d'accord,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,Directement sous (ou au-dessus) du texte de l'e-mail,3,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,D'une complexité adéquate,D'une complexité correcte,5
37e6e53a-311b-4643-86f0-6eecaa8aa79d,lt515f,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 09:51:14 +0000",112435,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3,Je suis pas tout à fait d'accord,Assez grandes,Plutôt d'accord,D'une complexité adéquate,Assez complexe,6
25b0e0d8-9fde-40ee-981e-02e11baf8d93,QJOaRr,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Safari,"Thu, 06 Mar 2025 10:07:30 +0000",245891,SUCCESS,Sans avis,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,2,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,3
fe750907-207b-4ada-b5b6-d3371f8a092f,cb1DJQ,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 10:35:52 +0000",13851,DROP_OFF,,,,,,,,,,
60630481-b36c-486f-bc36-8d1ff5b4623f,8vOHMv,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 11:33:06 +0000",1026341,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,4,Je suis pas tout à fait d'accord,Parfaites,Sans avis,Assez complexe,Très complexe,7
f17f0020-f62d-4c06-94fe-a729029d1a18,6zvigv,FR,Mobile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",Chrome,"Thu, 06 Mar 2025 11:38:11 +0000",77680,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3,Je suis pas tout à fait d'accord,Assez petites,Sans avis,Assez simple,Assez complexe,5
8e697ec2-9e51-4868-bbaf-4b639c96c428,iA9Psr,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 12:22:47 +0000",61627,DROP_OFF,Sans avis,,,,,,,,,
9a82365c-713e-467c-91e2-30995f3d981e,OoTYDD,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 12:24:03 +0000",332297,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,4,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,Très simple,Très simple,4
3457e9c8-6426-4682-9d70-bd8a22a25bd1,Cx3uxr,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 12:32:49 +0000",125144,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3,Je suis pas tout à fait d'accord,Assez petites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,4
9ca56952-1e8a-4508-a866-4f5c8548b8c5,N0QmoD,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 12:38:15 +0000",48,DROP_OFF,,,,,,,,,,
59381068-eb45-427b-9c92-27e0ce57460f,zklTJX,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 12:45:18 +0000",180254,DROP_OFF,Pas du tout d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,4,Plutôt d'accord,Trop petites,,,,
11693a6b-7a42-42e2-bdbc-760bc578f776,vvBlBy,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 13:46:57 +0000",89072,SUCCESS,Sans avis,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,Directement sous (ou au-dessus) du texte de l'e-mail,4,Je suis pas du tout d'accord,Parfaites,Plutôt d'accord,Très simple,Assez simple,7
e02bd25d-840a-4531-8b02-7203e7202782,hSfh2x,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 13:47:19 +0000",32525,DROP_OFF,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),,,,,,,,
4091ed46-e956-40e9-9e7f-57bb9411a29b,uabfnz,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 14:00:42 +0000",590149,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2,Sans avis,Assez petites,Plutôt d'accord,Assez simple,Assez complexe,4
8e82d727-511c-40aa-945a-b0a7d1fc2ae3,CyUMxG,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 16:24:28 +0000",247990,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3,Je suis pas du tout d'accord,Trop petites,Plutôt d'accord,Assez simple,D'une complexité correcte,5
29ffb80b-807f-458a-a820-5009b9be1047,ERDCLw,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Fri, 07 Mar 2025 07:59:37 +0000",9306,DROP_OFF,,,,,,,,,,
