SessionID,Session Name,Country,Device,User Agent,Browser,Date,Time (MILLISECONDS),Status,Je trouve que la gestion simultanée de deux ou plusieurs courriels (suppression marquage comme lu etc.) est un véritable jeu d'enfant:,Je préfère généralement afficher les courriels dans une orientation:,Si j'utilise la vue horizontale des courriers électroniques le fait de cliquer sur « Répondre » m'amène à espérer pouvoir répondre:,Il me semble que les icônes de gestion des e-mails sont:,L'utilisation du bouton « Ajouter étiquette » est claire pour moi:,Je trouve que les icônes pour la gestion du courrier électronique sont:,Je trouve que le fonctionnement des étiquettes des courriers électroniques est confus:,Je pense que le déplacement de courriers électroniques d'un dossier à l'autre est une opération:,La recherche d'un courrier électronique dans un dossier donné est:,En général je considère que l'utilisation des Mails est:,Souhaitez-vous ajouter un commentaire ou un souhait?
1e081f6f-2b5c-443b-94d1-e1dd3f0e1149,aZIRZ6,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 07:21:49 +0000",139703,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Je suis pas tout à fait d'accord,Parfaites,Pas tout à fait d'accord,Assez simple,Assez complexe,5.0,manque beaucoup de fonctionnalités par rapport à d'autres interfaces de gestion des mails
a78258aa-a2cb-440b-b11a-950842473954,SCsWOR,FR,Mobile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36",Samsung Browser,"Thu, 06 Mar 2025 07:28:49 +0000",219407,SUCCESS,Sans avis,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,3.0,Sans avis,Parfaites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,3.0,Pourrait-on récupérer automatiquement les adresses mail des expéditeurs ?
e66c1c75-24d2-41cc-9876-8ddbdbcb502c,1NDZE0,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 07:33:31 +0000",112843,SUCCESS,Pas du tout d'accord,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,Directement sous (ou au-dessus) du texte de l'e-mail,1.0,Je suis pas du tout d'accord,Parfaites,Plutôt d'accord,Assez complexe,Assez complexe,4.0,non
5969d4b8-8901-4e2f-ad0c-2993cc4e50ee,fqUyv1,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 07:41:08 +0000",352831,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3.0,Sans avis,Assez petites,Sans avis,Assez complexe,Assez complexe,4.0,"-Lorsqu'on cherche un mail, on ne peut pas le déplacer dans un dossier
-Impossibilité d'envoyer un mail à un groupe de contacts"
1cccd89e-55f4-4985-883b-52bb5ea38479,hRAft3,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 07:46:03 +0000",108815,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,1.0,Sans avis,Trop petites,Sans avis,Assez simple,Très complexe,3.0,non
65cedf0a-7f15-405b-8de6-61a00387182f,EZOCc5,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 07:47:29 +0000",1295881,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3.0,Sans avis,Assez petites,Sans avis,Assez simple,D'une complexité correcte,4.0,"En complément de la question 1, pour gérer plusieurs mails en même temps, il serait beaucoup plus simple de pouvoir utiliser le raccourci clavier ""MAJ"" afin de sélectionner plusieurs mails à la suite, plutôt que de devoir les cocher un par un. 

Nous recevons beaucoup de mails avec des pièces jointes et dans un souci de stockage numérique, nous supprimons les PJ après téléchargement. Hors, sur Carbonio, lorsque nous supprimons une PJ d'un mail, le mail est renvoyé sans cette PJ. Cela se produit pour chaque suppression de PJ d'un mail (donc si nous avons 5 pièces jointes, nous avons ensuite le mail en 6 exemplaires, l'initial et les 5 autres avec une PJ en moins à chaque fois). Il est parfois nécessaire de garder des mails, mais pas les PJ. 

Pour les contacts, il serait beaucoup plus simple de pouvoir envoyer un mail à un dossier de contact en faisant clic droit dessus, envoyer un mail au dossier. Nous devons parfois envoyer des mails à des dizaines d'adresses et n'avons pas forcément le temps de créer une liste d'envoi alors que nous avons déjà un dossier avec toutes les adresses. 

Serait-il possible d'ajouter d'autres nuances de couleurs pour les dossiers de mail svp ? 

Les dossiers de mails sont rangées par ordre alphabétique, y compris la corbeille. Personnellement, j'ai une soixantaine de dossier de mails avant la corbeille, est-il possible de la mettre en dessous de ""envoyé"" ou ""brouillon"" afin de pouvoir l'atteindre plus facilement pour la vider svp ? 

Certaines personnes n'ont pas remarqué ou ne savent pas modifier le nom ""Default"" de leur compte mail. Serait-il possible de mettre automatiquement un nom en fonction de l'adresse mail dans le nom du compte svp ? Il est parfois difficile de se rendre compte de qui nous a envoyé un mail lorsque tout le monde s'appelle Default. 

Merci pour ces prises en compte "
1e3d987a-4d06-4f67-a6ae-62556433e0ad,i9kuMK,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,Firefox,"Thu, 06 Mar 2025 07:48:09 +0000",43942,DROP_OFF,Sans avis,,,,,,,,,,
8cdfc269-f698-4a40-946a-d7e769279348,AvBbTy,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,Firefox,"Thu, 06 Mar 2025 07:48:58 +0000",4280325,DROP_OFF,Pas tout à fait d'accord,,,,,,,,,,
31a3d9d1-d742-4040-9722-9b4378279a63,OS3udo,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:05:37 +0000",57387,DROP_OFF,Plutôt d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),,,,,,,,,
336ea9a7-3bc9-43bb-85f6-6cbd3538ccdb,cJeVgA,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:08:30 +0000",136623,DROP_OFF,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),,,,,,,,,
dd020c24-1705-415f-b72a-5b4eabf4b161,IJP25P,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:10:50 +0000",115210,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,1.0,Plutôt d'accord,Trop petites,Je suis d'accord,Très simple,D'une complexité correcte,7.0,"Le produit est très bon, ne reste qu'un travail d'UX est ce sera parfait. Merci aux équipes. "
a719e033-00bb-4e39-871d-4f4b3ef4a93c,tKuWFN,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:13:33 +0000",253285,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3.0,Sans avis,Parfaites,Plutôt d'accord,Assez simple,Très simple,9.0,BOITE MAILPAS SUPERBE 
93966d61-77fb-4820-b350-e4f8f7e1bdcb,2JIeHA,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 08:16:43 +0000",296062,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,4.0,Plutôt d'accord,Parfaites,Plutôt d'accord,Assez simple,Assez simple,8.0,Je pense que ce ZEXTRAS Services me plaît.
dea84a1b-fbce-415f-bde3-cd7629c41db7,3ElwwH,FR,Desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:20:53 +0000",550500,SUCCESS,Pas du tout d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,2.0,Je suis pas du tout d'accord,Trop petites,Je suis d'accord,Assez complexe,D'une complexité correcte,3.0,L'ergonomie et le volume de fonctionnalités de Carbonio est très en dessous de Zimbra 8. Seuls la quantité de bugs est au dessus :-(
ca64c552-0eec-4b46-8085-312f64342f78,S1a6LZ,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 08:22:50 +0000",268321,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Je suis pas du tout d'accord,Trop petites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,4.0,"l'envoi des mails nécessite parfois un double appui sur le bouton envoyer.
De même lors de la suppression, il y a trop souvent un message indiquant que cela n'a pas fonctionné. la démarche est souvent à refaire"
402f7f11-f50e-406f-99fd-75fc688a3fef,swlsZw,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:24:28 +0000",168806,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3.0,Sans avis,Parfaites,Sans avis,Assez simple,Assez simple,5.0,.
3986cd63-7607-43d9-ad34-816b38ea5285,MeCqri,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 08:34:28 +0000",672212,SUCCESS,Pas du tout d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,1.0,Je suis pas du tout d'accord,Trop petites,Plutôt d'accord,Assez simple,D'une complexité correcte,2.0,"Problème de non-affichage des mails à l'ouverture d'un message ou pas toujours les icônes pour gérer le mail, quand on répond la fenêtre en plein écran serait mieux de base. Problème pour envoyer des mails à un groupe, obliger de rentrer les contacts un par un. Une enquête sur le calendrier ?? Il y a des choses à dire aussi... problème de lisibilité par exemple."
14d476d8-5829-4a6a-8830-ec73834b733a,7cPtpU,FR,Desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:36:52 +0000",276462,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,2.0,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,Assez simple,Assez complexe,3.0,Enormément de problèmes d'ergonomie dans cette interface. 
91aa8582-e3f6-4fab-87f6-aaa0bf3d3813,n7MG58,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 08:38:16 +0000",176738,SUCCESS,Je suis d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,4.0,Sans avis,Assez petites,Plutôt d'accord,Assez simple,D'une complexité correcte,7.0,Nous allons envoyer des demandes via le support pour certain bug/améliorations
c8c57aef-8752-42e9-91e4-9c38ef96a9f5,dLpRTt,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 09:01:03 +0000",1525195,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,4.0,Sans avis,Parfaites,Plutôt d'accord,D'une complexité adéquate,D'une complexité correcte,8.0,Difficultés rencontrées pour sélectionner plusieurs courriels devant être annulés simultanément afin d'épurer.
5aee46da-d295-4dd8-b476-fd9b54aa672e,RT2HwH,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 09:03:25 +0000",28991,DROP_OFF,Pas tout à fait d'accord,,,,,,,,,,
bbd8c1e3-96a4-415e-8afa-d118ff6fc9f9,8r802Y,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 09:04:16 +0000",303177,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3.0,Je suis pas du tout d'accord,Trop petites,Je suis d'accord,Assez simple,Assez simple,6.0,utilisation de carbonio uniquement si thunderbird est indisponible
1056c66d-ab2b-4e05-8191-14a995cd5e76,bLnJnD,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 09:05:17 +0000",315947,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Sans avis,Assez petites,Sans avis,D'une complexité adéquate,Assez complexe,6.0,Nous avons pas mal de probleme lorsqu'on utilise plusieurs boites mails. Les réponses ne sont pas rattaché avec l'adresse mail qui reçoit le mail
6a269a81-eef8-40b0-b7f9-f30884ba9b68,jc8cBX,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 09:08:04 +0000",169262,DROP_OFF,Pas tout à fait d'accord,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,,,,,,,,,
0c50c1af-647d-4f52-b1f8-02cbba72a672,KFwVaE,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Edge,"Thu, 06 Mar 2025 09:29:03 +0000",30813,DROP_OFF,Plutôt d'accord,,,,,,,,,,
86c4f2d7-6c9a-4b7d-8a6e-d919349a8bc9,Lt3UWH,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0,Firefox,"Thu, 06 Mar 2025 09:49:43 +0000",139863,SUCCESS,Pas tout à fait d'accord,Je préfère n'afficher que le contenu après avoir cliqué sur un e-mail.,Directement sous (ou au-dessus) du texte de l'e-mail,3.0,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,D'une complexité adéquate,D'une complexité correcte,5.0,non
37e6e53a-311b-4643-86f0-6eecaa8aa79d,lt515f,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 09:51:14 +0000",112435,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3.0,Je suis pas tout à fait d'accord,Assez grandes,Plutôt d'accord,D'une complexité adéquate,Assez complexe,6.0,En attente d'un outil plus intuitif.
25b0e0d8-9fde-40ee-981e-02e11baf8d93,QJOaRr,FR,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Safari,"Thu, 06 Mar 2025 10:07:30 +0000",245891,SUCCESS,Sans avis,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),Directement sous (ou au-dessus) du texte de l'e-mail,2.0,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,3.0,A quand une revision de l'interface d'administration?
60630481-b36c-486f-bc36-8d1ff5b4623f,8vOHMv,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 11:33:06 +0000",1026341,SUCCESS,Pas tout à fait d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,4.0,Je suis pas tout à fait d'accord,Parfaites,Sans avis,Assez complexe,Très complexe,7.0,"Les points à travailler en priorité :
- Sélection de mails (trop de scroll à faire dans les dossiers lourds) et déplacement
- Recherche de mails (à l'heure actuelle pas efficace si on met plusieurs mots)"
f17f0020-f62d-4c06-94fe-a729029d1a18,6zvigv,FR,Mobile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",Chrome,"Thu, 06 Mar 2025 11:38:11 +0000",77680,SUCCESS,Plutôt d'accord,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),Directement sous (ou au-dessus) du texte de l'e-mail,3.0,Je suis pas tout à fait d'accord,Assez petites,Sans avis,Assez simple,Assez complexe,5.0,Non
8e697ec2-9e51-4868-bbaf-4b639c96c428,iA9Psr,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 12:22:47 +0000",61627,DROP_OFF,Sans avis,,,,,,,,,,
9a82365c-713e-467c-91e2-30995f3d981e,OoTYDD,FR,Desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:128.0) Gecko/20100101 Firefox/128.0,Firefox,"Thu, 06 Mar 2025 12:24:03 +0000",332297,SUCCESS,Sans avis,Verticale (la liste des courriels à gauche et le contenu du courriel à droite),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,4.0,Je suis pas tout à fait d'accord,Trop petites,Plutôt d'accord,Très simple,Très simple,4.0,non pas besoin
3457e9c8-6426-4682-9d70-bd8a22a25bd1,Cx3uxr,FR,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Chrome,"Thu, 06 Mar 2025 12:32:49 +0000",125144,SUCCESS,Pas tout à fait d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,3.0,Je suis pas tout à fait d'accord,Assez petites,Plutôt d'accord,D'une complexité adéquate,Assez complexe,4.0,il serait profitable de pouvoir sélectionner plusieurs contact pour envoyer un email groupé plutôt que devoir constituer des groupes de contacts.
59381068-eb45-427b-9c92-27e0ce57460f,zklTJX,FR,Desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,Firefox,"Thu, 06 Mar 2025 12:45:18 +0000",180254,DROP_OFF,Pas du tout d'accord,Horizontale (la liste d'adresses électroniques en haut et le contenu de l'adresse électronique en bas),En utilisant le compositeur de courriel quiapparaît dans le coin inférieur gauche,4.0,Plutôt d'accord,Trop petites,,,,,
