Original_Response,Translated_Response
Modifier un brouillon n'est pas aussi simple qu'avec la précédente messagerie.,Modifying a draft is not as simple as with the previous messaging.
Nous ne pouvons plus lire les émojis.,We can no longer read the emojis.
il faudrait supprimer les initiales dans les ronds devant les mails : ne sert à rien + pollution visuelle,The initials should be removed in the circles in front of the emails: is useless + visual pollution
Le changement de messagerie ne constitue pas un progrès pour ce qui en usent (comparativement à l'ancienne...).,The change of messaging is not progress for what use it (compared to the old -fashioned ...).
Je souhaiterais avoir à nouveau accès à la messagerie Thunderbird dont les fonctionnalités me satisfaisaient pleinement...,I would like to have access to Thunderbird messaging again whose features fully satisfied me ...
La fenêtre d'écriture des mails en réponses est trop petite et mal située,The mail writing window is too small and poorly located
le problème est la non-synchronisation avec outlook des messages envoyés,The problem is the non-synchronization with Outlook of messages sent
Je n'ai pas de commentaires à ajouter pour l'instant,I have no comments to add for now
La recherche d'un mail n'est pas assez sélective.,The search for an email is not selective enough.
Il faudrait avoir le choix d'ouvrir une nouvelle fenêtre ou non lorsque l'on répond à un mail.,You should have the choice to open a new window or not when you respond to an email.
Modifier la police et le contraste – rendre plus performante la recherche de mails et pièces jointes – agrandir les marqueurs de mails (petits drapeaux) – résoudre le problème de la disparition (ou marqué comme non lu) des mails envoyés,Modify the police and the contrast - make the search for emails and attachments more efficient - enlarge the markers of emails (small flags) - solve the problem of the disappearance (or marked as not read) of the emails sent
Pouvoir répondre plus facilement (sans ouverture de fenêtre),Be able to respond more easily (without window opening)
Icone marqueur plus visible,More visible marker icon
Je suis très insatisfaite de l'ergonomie de cette nouvelle interface.,I am very unsatisfied with the ergonomics of this new interface.
Oui. Que la modification de l'affichage soit conservé. Lorsqu'on modifie la taille des caractères ça n'est pas persistant,Yes. That the modification of the display is kept. When we modify the size of the characters it is not persistent
Je voudrais pouvoir composer mes mails dans une fenêtre distincte (pop-up). Le compositeur de courriel actuel est catastrophique comparé à la solution précédente (bluemind).,I would like to be able to compose my emails in a separate window (pop-up). The current email composer is catastrophic compared to the previous solution (Bluemind).
Le principal problème des mails est l’indisponibilité de la messagerie (cycle de redirections infini).,The main problem of emails is the unavailability of messaging (infinite redirect cycle).
Faites quelque chose qui fonctionne avec une barre de recherche rapide,Do something that works with a quick search bar
Interface peu fluide.,Not very fluid interface.
J’en viens à écrire mes messages dans word et à faire des copier/coller.,I come to write my messages in Word and copy/paste.
J’espère vraiment qu’il va y avoir une NETTE amélioration rapidement.,I really hope there will be a clear improvement quickly.
Merci de l’attention que vous porterez à ce message,Thank you for the attention you will pay to this message
J'aimerai bien qu'il y ait aussi un sondage sur l'utilisation du calendrier électronique que je trouve très défectueux dans son utilisation.,I would like there to also be a survey on the use of the electronic calendar that I find very defective in its use.
l'ancienne version était bien plus facile d'utilisation.,The old version was much easier to use.
Depuis le changement de la messagerie difficile de s'y retrouver je la trouve moins pratique. Je préférais l'ancienne.,Since the change of messaging difficult to find your way I find it less practical. I preferred the old one.
Très mauvaises cette nouvelle gestion courriels.,Very bad this new email management.
Améliorer la recherche de mails,Improve email search
Les initiales de l'interlocuteur sont totalement inutiles. Application non fonctionnelle et illisible.,The initials of the interlocutor are completely useless. Non -functional and illegible application.
Dans un message (en tous cas sous Chrome) il est impossible de faire un copier-coller d'un lien via le bouton droit de la souris.,In a message (in any case under Chrome) it is impossible to copy and paste with a link via the right button of the mouse.
Plusieurs petits points :,Several small points:
° La fenêtre d'écriture du nouveau courrier est une bonne amélioration,° The new mail writing window is a good improvement
Je suis insatisfaite de cette messagerie,I am dissatisfied with this messaging
Priorité d'amélioration : la taille des icônes de gestion des emails / la recherche textuelle multi mots,Improvement priority: size of email management icons / Multi Word textual research
Changer de messagerie !,Change messaging!
Très peu convivial. Retour en début de liste des e.mails à chaque fois. Icones peu claires et navigation compliquée. Impossible à utiliser à l'étranger ou très compliqué.,Very little friendly. Back at the start of the list of e.mails each time. Unclear icons and complicated navigation. Unable to use abroad or very complicated.
Il est difficile de voir la liste des destinataire d’un mail dans l’interface une fois celui ci reçu ou envoyé.,It is difficult to see the list of recipients of an email in the interface once it has been received or sent.
Quelques soucis parfois avec Firefox : la boîte mail ne s’affiche pas ( page blanche ) pas de soucis avec chrome.,Some concerns sometimes with Firefox: the mailbox is not displayed (blank page) no worries with chrome.
Cependant les ordinateurs de l’université sont majoritairement sous Firefox ( impossible d’utiliser chrome).,"However, the university computers are mainly under Firefox (impossible to use Chrome)."
Je ne suis pas satisfaite de la présentation des mails et pas du tout satisfaite de l'affichage des agendas qui est très brouillon surtout quand on doit utiliser plusieurs agendas pour travailler. Je perds beaucoup de temps avec ce nouvel outil.,I am not satisfied with the presentation of emails and not at all satisfied with the display of agendas which is very rough especially when you have to use several agendas to work. I waste a lot of time with this new tool.
je ne suis pas du tout satisfaite de carbonio que ce soit des mails et encore moins du calendrier,I am not at all satisfied with carbonio that it is emails and even less of the calendar
toutes les fonctionnalités sont à revoir car actuellement rien n'est intuitif,All features are to be reviewed because currently nothing is intuitive
Pour les mails il faut pouvoir ouvrir dans un autre onglet et pouvoir le mettre en vis à vis.,For emails you have to be able to open in another tab and be able to put it on the opposite.
On devrait pouvoir redimensionner la largeur de la colonne des dossiers,We should be able to resize the width of the file of files
Il est crucial de distinguer étiquettes de messages et catégorie d'event de calendrier,It is crucial to distinguish message labels and calendar event category
Utilisation absolument pas intuitive. Complexité de l'outil. Recherche d'un mail passé extrêmement long.,Absolutely not intuitive use. Complexity of the tool. Search for an extremely long past email.
Comment voit-on le poids d'un message ? le poids de la messagerie et son % d'occupation ?,How do we see the weight of a message? The weight of messaging and its % occupancy?
L'architecture des dossiers classés n'est pas satisfaisante en ergonomie. Manque de visibilité des dossiers / sous-dossiers,The architecture of classified files is not satisfactory in ergonomics. Lack of visibility of files / subfolders
Il faut pouvoir rédiger les courriers dans une autre fenêtre et non pas dans l'interface ce qui rend l'utilisation moins agréable.,You have to be able to write letters in another window and not in the interface which makes use less pleasant.
Le marquage (drapeau) est trop peu visible.,The marking (flag) is too little visible.
La mise en évidence des initiales dans l'icône de réception d'un mail est complètement inefficace. Il faudrait voir systématiquement l'adresse de l'expéditeur.,The highlighting of initials in the mail reception icon is completely ineffective. You should systematically see the address of the sender.
- sélection multiples pour déplacer ou supprimer des mails sans en choisir qu'un ou tous,- multiple selection to move or delete emails without choosing one or all
- lenteur parfois de récupération des adresses mails de l'annuaire interne,- Slow sometimes recovery of email addresses from the internal directory
- icônes actions petites,- Small actions icons
mauvaise visibilité des pièces jointes aux mails.,Poor visibility of attachments to emails.
Le pop up enregistré dans les brouillons vient s'appliquer sur le texte de l'email. C'est gênant.,The pop -up recorded in the drafts applies to the text of the email. It's embarrassing.
La messagerie est complexe à utiliser . La précédente était bien mieux,Mail is complex to use. The previous one was much better
pouvoir afficher que les mails non lu,be able to display that unread emails
La recherche de mails par objet ou mot clefs manque,The search for emails by object or keyword lacks
